		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2047.984375	M = 1048576	N = 8	m = 9	n = 8388608
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2024 2018 2043 2035 2040 2073 2099 2029  2.687012 0.952440 SUCCESS   0
000000011 2025 2030 2077 2055 2108 2038 2031 2029  3.077416 0.929406 SUCCESS   1
000000101 2016 2038 2044 2054 2098 2067 2090 2051  2.935512 0.938339 SUCCESS   2
000000111 2046 2106 2014 2018 2098 2050 1992 1940 11.476895 0.176113 SUCCESS   3
000001001 2072 2097 2030 2043 1953 2029 2010 2048  7.147886 0.520764 SUCCESS   4
000001011 2046 2110 2112 2104 2120 2021 2077 2056  9.043530 0.338637 SUCCESS   5
000001101 2003 2022 2103 1992 2024 2022 1979 2067  7.692236 0.464096 SUCCESS   6
000001111 2076 2052 1971 2032 2064 2094 1992 1992  7.891683 0.444122 SUCCESS   7
000010001 2060 2089 2017 1922 2011 2109 2128 2042 15.246371 0.054528 SUCCESS   8
000010011 2055 2086 2046 2022 1996 2067 2045 2027  2.872097 0.942126 SUCCESS   9
000010101 2011 2026 1966 2008 2054 2097 2108 2096  9.352242 0.313458 SUCCESS  10
000010111 2064 2022 2089 2080 2183 2076 2127 2110 16.536601 0.035313 SUCCESS  11
000011001 2040 2088 2023 2060 1994 2088 2125 2068  6.707671 0.568476 SUCCESS  12
000011011 2032 2080 2078 1995 2011 2082 2022 2046  4.137785 0.844483 SUCCESS  13
000011101 2043 2110 1980 2045 1992 1951 2077 2079 11.538211 0.173027 SUCCESS  14
000011111 2033 1954 2017 2072 2063 2059 2007 2043  6.386743 0.603996 SUCCESS  15
000100011 2078 2077 2058 1949 1994 2067 2065 1999  8.891904 0.351497 SUCCESS  16
000100101 2090 2068 2091 2041 2060 2103 1946 1996 10.272397 0.246425 SUCCESS  17
000100111 2059 2057 2086 1977 2038 2024 2006 2061  4.693751 0.789751 SUCCESS  18
000101001 2043 2033 1978 1978 2074 2015 2119 2064  8.641163 0.373465 SUCCESS  19
000101011 2006 2043 1971 2038 2105 2099 2087 2009  8.438985 0.391804 SUCCESS  20
000101101 1989 2045 2012 1923 2048 2042 2104 2003 12.929894 0.114285 SUCCESS  21
000101111 2118 1990 2043 2074 2147 2008 2113 2084 13.077289 0.109218 SUCCESS  22
000110011 2069 2086 1994 2071 2078 2006 2042 2014  4.639016 0.795369 SUCCESS  23
000110101 2025 2028 2108 1960 2074 2139 2016 2138 15.331945 0.053003 SUCCESS  24
000110111 2124 2068 2068 2037 2031 2083 2056 2038  4.231709 0.835636 SUCCESS  25
000111001 2119 2045 2118 2101 2071 2025 2018 1992  9.018325 0.340752 SUCCESS  26
000111011 2002 2069 2015 2029 2018 1923 2034 2076 10.861207 0.209688 SUCCESS  27
000111101 2009 2062 2081 2064 2040 2092 1997 2087  4.639142 0.795356 SUCCESS  28
000111111 2064 1987 2041 2088 2080 2000 1996 1981  8.152731 0.418695 SUCCESS  29
001000011 1915 2012 2071 2100 2051 2078 2078 2088 12.943072 0.113823 SUCCESS  30
001000101 2053 2049 2029 2042 2047 2115 2087 2065  3.397081 0.907029 SUCCESS  31
001000111 2050 1983 2030 1988 1970 2015 1995 2019  9.578568 0.295859 SUCCESS  32
001001011 2096 2074 2136 2048 2011 2115 2028 1978 11.053126 0.198707 SUCCESS  33
001001101 2022 2105 2058 2155 2042 2029 2133 2073 11.983981 0.151920 SUCCESS  34
001001111 2077 2079 2058 2063 2060 2059 2019 1991  3.274086 0.915999 SUCCESS  35
001010011 2091 2062 1956 1986 1980 2043 2099 2014 11.492031 0.175347 SUCCESS  36
001010101 2074 2031 2058 1948 2094 2032 2071 2120  9.672413 0.288775 SUCCESS  37
001010111 2016 2063 2023 2068 2136 2070 2057 2037  5.407419 0.713274 SUCCESS  38
001011011 1997 2060 2041 1993 2063 2037 2064 2018  3.695724 0.883480 SUCCESS  39
001011101 2032 2043 2077 2119 2026 2049 2015 1992  5.490926 0.704045 SUCCESS  40
001011111 2072 1975 2056 2091 2070 2048 2115 2102  7.935118 0.439834 SUCCESS  41
001100101 2080 2049 1981 2022 2028 2015 2024 2093  5.190468 0.737038 SUCCESS  42
001100111 2021 2034 2006 2024 2046 1973 2037 2003  5.571971 0.695054 SUCCESS  43
001101011 1970 2090 2083 2017 2055 2023 2036 2103  7.008476 0.535718 SUCCESS  44
001101101 2033 2127 2020 2102 2068 2004 1995 2002  8.800995 0.359361 SUCCESS  45
001101111 2080 2002 2074 2038 2065 2161 2093 2104 11.182971 0.191546 SUCCESS  46
001110101 2002 2048 1950 2095 2052 2048 2019 2070  7.710544 0.462244 SUCCESS  47
001110111 2054 2077 2022 2011 2010 1925 1977 2084 13.042930 0.110381 SUCCESS  48
001111011 2012 2016 2152 2070 1982 2101 2017 2070 11.227842 0.189121 SUCCESS  49
001111101 2023 1992 1964 2067 2018 2054 2070 2055  6.385149 0.604173 SUCCESS  50
001111111 2060 2092 2069 2041 2116 2010 2013 2019  5.406630 0.713361 SUCCESS  51
010000011 2043 2014 1993 2030 1972 2149 1986 2134 16.032845 0.041912 SUCCESS  52
010000111 1991 1941 2055 2083 2063 2023 2043 2048  8.506425 0.385626 SUCCESS  53
010001011 2021 2060 2034 2052 2069 2043 2125 2053  3.791557 0.875423 SUCCESS  54
010001111 2073 2019 1948 1960 2050 2000 2026 2008 11.915468 0.155016 SUCCESS  55
010010011 2063 2109 2046 2102 2096 2102 2067 2046  6.292283 0.614528 SUCCESS  56
010010111 2017 1995 2130 2018 2026 2065 2049 2006  7.035134 0.532847 SUCCESS  57
010011011 2015 2150 2033 2138 2052 2050 2073 2094 11.407024 0.179686 SUCCESS  58
010011111 2054 2076 2030 2097 2044 2059 2013 1986  4.419303 0.817451 SUCCESS  59
010100011 2069 2114 1944 1964 2095 2046 1957 2029 16.928694 0.030860 SUCCESS  60
010100111 2085 2017 1978 2029 2033 2144 2032 2040  8.763227 0.362662 SUCCESS  61
010101011 2067 2064 2055 1962 2072 2044 2030 2129  7.848596 0.448398 SUCCESS  62
010101111 2023 2074 2100 2074 2080 2061 1985 2089  5.821813 0.667184 SUCCESS  63
010110011 2034 2054 2012 2058 2065 1998 2055 2057  2.295661 0.970580 SUCCESS  64
010110111 1995 2052 2046 1966 2068 2028 2030 1999  6.601895 0.580129 SUCCESS  65
010111011 2036 2091 2151 2120 2019 2075 2032 2069 10.131077 0.255946 SUCCESS  66
010111111 2075 1996 2044 2061 2078 2080 2100 2058  4.216857 0.837047 SUCCESS  67
011000111 2011 2038 2092 2082 2056 2070 2062 2080  3.198154 0.921314 SUCCESS  68
011001111 2046 2049 2074 2034 2054 1950 2047 2079  5.796671 0.669996 SUCCESS  69
011010111 2016 2075 2111 2058 2086 2050 2040 2107  5.464632 0.706955 SUCCESS  70
011011111 2098 1967 2022 2044 2029 2037 2073 2095  6.600206 0.580315 SUCCESS  71
011101111 2029 2046 2039 2033 2034 1995 1961 2115  7.944382 0.438922 SUCCESS  72
011111111 2024 2035 2082 2071 2111 2020 2063 2025  4.009329 0.856281 SUCCESS  73
100000000 2024 2018 2043 2035 2040 2073 2099 2029  2.687012 0.952440 SUCCESS  74
100010000 1977 1993 2049 1952 2104 2074 1984 2050 12.721576 0.121795 SUCCESS  75
100100000 1976 2036 2058 1994 2006 2011 2080 2015  6.860355 0.551772 SUCCESS  76
100101000 2105 2069 1955 2026 2013 2063 1937 2027 13.651058 0.091326 SUCCESS  77
100110000 2021 2017 2040 2074 2077 2048 2086 2040  2.413937 0.965623 SUCCESS  78
100111000 2049 1977 2084 2056 2067 1999 2070 2033  4.985591 0.759115 SUCCESS  79
101000000 2056 2078 2138 2016 1973 2037 2074 2079  8.824796 0.357291 SUCCESS  80
101000100 2053 2034 2047 2012 2037 2006 2026 2049  1.961743 0.982162 SUCCESS  81
101001000 1976 1977 2026 2070 2047 2056 1957 2005 10.797760 0.213424 SUCCESS  82
101001100 2049 2119 2060 2019 2041 2004 2124 2063  7.078773 0.528158 SUCCESS  83
101010000 1974 2031 2063 2070 2023 2028 2181 2039 12.762517 0.120286 SUCCESS  84
101010100 2066 1989 2039 1960 2047 2090 2113 2073  9.214537 0.324523 SUCCESS  85
101011000 2084 1988 2005 2081 2098 2062 2070 2065  5.709676 0.679715 SUCCESS  86
101011100 2052 2030 2017 2085 2031 2077 2008 2008  3.534155 0.896523 SUCCESS  87
101100000 2087 2010 2022 2094 2065 2089 2083 1989  6.280162 0.615881 SUCCESS  88
101100100 2070 2050 2025 2092 2066 2039 2058 2038  1.797823 0.986595 SUCCESS  89
101101000 2002 2063 2073 2017 2061 1972 2091 2049  5.919319 0.656269 SUCCESS  90
101101100 1985 2059 2085 1997 2044 2036 2102 1988  7.441036 0.489879 SUCCESS  91
101110000 2021 2158 2131 2012 2036 2103 2046 2044 12.226374 0.141386 SUCCESS  92
101110100 2105 2029 2078 2064 2111 2029 1984 2032  6.792678 0.559158 SUCCESS  93
101111000 1991 1970 2023 1933 2087 2113 2040 2069 14.863164 0.061861 SUCCESS  94
101111100 2048 2068 2056 2127 2104 2092 2161 2067 12.584644 0.126962 SUCCESS  95
110000000 2060 2073 2044 1973 2088 2071 2043 2033  4.438906 0.815514 SUCCESS  96
110000010 1997 2037 2077 2075 2038 2070 2021 2018  3.284550 0.915253 SUCCESS  97
110000100 2034 2047 2015 1986 2123 2117 2105 1913 18.681125 0.016661 SUCCESS  98
110001000 2047 2026 2058 2004 2058 2080 2037 2081  2.452132 0.963926 SUCCESS  99
110001010 2118 1969 2006 2040 2137 2007 2140 2077 16.100727 0.040961 SUCCESS 100
110010000 2078 2071 2032 2056 2037 2090 2112 2065  4.052479 0.852358 SUCCESS 101
110010010 2101 2110 2039 2065 2063 2049 2085 2093  5.378742 0.716434 SUCCESS 102
110010100 2073 2067 2020 2007 1965 2039 1942 1937 17.155336 0.028532 SUCCESS 103
110011000 2087 2107 2015 2017 2044 2091 2032 2108  6.452858 0.596641 SUCCESS 104
110011010 2016 2064 2027 2092 2031 1945 2041 2046  7.375853 0.496676 SUCCESS 105
110100000 2076 2106 2109 2047 1990 2052 1984 2094  8.820361 0.357676 SUCCESS 106
110100010 1998 2080 2066 2041 2075 1946 2017 2086  8.804373 0.359067 SUCCESS 107
110100100 1987 2024 1972 2146 1981 2111 2011 2042 14.917457 0.060770 SUCCESS 108
110101000 2015 2057 2041 2023 1992 2028 2040 2004  3.724370 0.881096 SUCCESS 109
110101010 2059 2022 2036 1974 2025 2102 2072 2082  5.855367 0.663429 SUCCESS 110
110101100 2086 1996 2052 2082 2108 1987 2100 2054  7.769461 0.456308 SUCCESS 111
110110000 2123 2032 1990 2032 2004 2020 2076 1994  8.039127 0.429657 SUCCESS 112
110110010 1969 2057 2085 2059 2051 2055 2062 2012  4.727747 0.786239 SUCCESS 113
110110100 1989 1993 2084 2102 2054 1998 2011 1989  9.140847 0.330554 SUCCESS 114
110111000 2045 2118 2087 2050 2080 2020 2034 2056  4.295613 0.829516 SUCCESS 115
110111010 2082 2038 2083 2069 2057 2049 2016 1982  4.234218 0.835397 SUCCESS 116
110111100 2009 1957 2037 1992 2011 2078 2023 2048  8.053457 0.428266 SUCCESS 117
111000000 2070 2050 2018 1970 2080 2047 2063 2133  8.054783 0.428137 SUCCESS 118
111000010 2019 2037 2029 1981 2134 2125 2051 2001 10.785244 0.214167 SUCCESS 119
111000100 1998 2010 1989 2027 2056 2061 2022 2064  4.558634 0.803539 SUCCESS 120
111000110 2028 2079 2086 2069 2089 2030 2009 2083  4.040295 0.853470 SUCCESS 121
111001000 2042 2019 2104 2013 2070 2032 2050 2007  3.869461 0.868705 SUCCESS 122
111001010 2107 2106 1968 2091 2074 2020 1968 1979 13.996355 0.081860 SUCCESS 123
111001100 2134 2038 1985 2033 1987 2115 2015 2125 13.595708 0.092931 SUCCESS 124
111010000 2087 2120 2056 2009 2048 2085 1986 2105  8.462375 0.389654 SUCCESS 125
111010010 2107 2013 2051 2094 1956 2104 2042 2067  9.509881 0.301123 SUCCESS 126
111010100 1974 2062 1994 2028 2066 2026 1972 1986  9.801706 0.279220 SUCCESS 127
111010110 2041 2004 2104 2091 2146 1966 2120 2056 14.419445 0.071467 SUCCESS 128
111011000 2132 2011 2007 1982 2018 2029 2038 2033  8.102937 0.423480 SUCCESS 129
111011010 2014 1981 2097 2140 2016 2073 2094 2053 10.253852 0.247659 SUCCESS 130
111011100 2051 2127 2133 2043 2036 1998 2063 2099  9.583429 0.295489 SUCCESS 131
111100000 2020 2037 1926 2051 2074 2071 2067 2104 10.353000 0.241119 SUCCESS 132
111100010 2028 1995 2012 1952 2122 2106 2108 2058 13.263085 0.103113 SUCCESS 133
111100100 2089 2020 2112 2130 2065 2026 2064 2053  7.244682 0.510478 SUCCESS 134
111100110 2106 2001 1979 2084 2030 2066 2058 2063  6.365200 0.606395 SUCCESS 135
111101000 2092 2143 2040 2098 2088 2075 2020 2103  9.935149 0.269607 SUCCESS 136
111101010 2033 2061 2116 1986 2054 1960 2000 2071  9.834234 0.276854 SUCCESS 137
111101100 2105 1942 2041 1983 2010 2029 1970 2018 13.908618 0.084179 SUCCESS 138
111101110 2087 2056 2124 2018 2057 2071 2008 2035  5.374875 0.716860 SUCCESS 139
111110000 2054 2022 1947 2085 2058 2078 2093 2038  7.781172 0.455133 SUCCESS 140
